0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-400.60385,121.54375,-7.3038344,53.542023,-6.542893,17.55985,-6.666461,19.510504,-0.28409004,-9.256805,12.8665905,-10.499243,2.994537,-6.7705326,5.7011285,-5.3576055,-3.589345,4.892488,-8.989947,2.8297155,-4.682901,-0.0332811,-2.5954921,0.5813393,0.27181354,-4.6924534,1.0995805,-5.1664658,-0.40639645,-3.4004605,-1.0867467,-1.6632613,-2.2470672,0.9409188,-1.152626,3.7847455,2.39968,3.5575116,1.4248371,3.10876,No
-383.0017,133.51973,-11.37382,50.07034,-4.3468823,18.813862,-10.276218,18.508717,1.6563588,-10.2058115,12.405641,-10.751188,3.1698382,-7.290989,5.13325,-4.3590503,-3.5897033,6.3938727,-7.535967,2.536336,-4.6143723,1.7642968,-1.6465026,-0.33867857,0.104673214,-4.542946,1.4225161,-5.795896,0.04063208,-3.0243866,-1.929808,-1.6661612,-2.928617,-0.0019131348,-2.4856608,3.6632233,2.0889986,2.1169899,0.9707391,3.8485014,No
-485.81296,136.55453,-43.21912,75.93164,-42.136326,42.867985,-12.916293,29.005093,11.570355,0.76458323,20.89087,-5.921869,20.988491,-8.997932,13.068988,-5.233468,1.9404414,2.4409516,-5.2169046,7.136443,-8.230116,6.261962,-3.1737924,8.476653,-0.87125313,-1.4374007,2.4278457,-4.314363,1.6961688,-4.4335494,2.5376868,-6.91437,-0.16732319,-1.2092587,-1.243277,1.3234934,-2.0856023,2.2928452,-3.3175097,1.9146221,No
-379.6713,141.6237,-7.9154067,49.03715,-3.691179,25.996523,-2.1474798,17.77471,3.266129,-4.935889,14.557706,-8.59458,5.0127864,-5.5093126,4.708305,-4.8458853,-1.9692404,7.103503,-7.8049903,0.26935413,-5.4481177,1.4703934,-4.0625315,0.010560087,-0.84328824,-6.3877606,2.3965855,-6.261291,-0.63294256,-3.2266812,0.27720597,0.96094334,-1.85117,2.538656,-1.4034897,4.716985,1.6923739,2.1773407,2.7479885,1.8396423,No
-440.75195,116.25911,-20.069807,47.471058,-18.27578,30.737915,-1.332455,18.581736,9.588386,-1.238427,16.58264,-5.3888006,12.791063,-2.9470782,5.1616397,-2.2240808,-1.7711614,3.747556,-5.845958,2.5138154,-7.18529,2.9876926,-0.16909501,2.6348653,-0.15054135,-3.7502437,4.604532,-4.298575,-0.7089078,-2.0929248,1.0744648,-1.8595266,-1.3988485,1.9823571,-1.6619027,1.779308,-0.75021714,1.213478,-0.51555425,1.4647568,No
-446.43414,120.056725,-24.436108,45.77068,-21.104174,33.315567,-1.4577286,16.975388,9.181982,1.3002065,17.24153,-4.928405,14.77061,-2.741452,4.1675396,-3.2106338,1.031095,4.7736816,-5.531644,3.3030205,-6.3943753,3.4675906,-0.53657603,3.050514,-0.7480615,-2.31735,4.7170124,-4.151924,0.15521549,-2.0458193,1.0305445,-3.3861358,-1.5939978,-0.01738926,-2.5737677,2.4099228,-0.44195166,1.6309528,-1.4816794,1.3838753,No
-449.55447,114.478676,-23.972542,47.178074,-22.187498,33.86704,1.6191766,21.480843,10.062282,0.5034092,17.189688,-6.4318485,14.122082,-3.0151837,5.3618264,-3.4506402,-0.28875706,6.149969,-5.474178,2.456483,-6.1864843,5.1720443,0.16639325,2.5083356,-0.0299364,-1.6946656,4.3381805,-4.6699543,0.9177121,-2.2880642,0.7698136,-3.2930427,-1.8324541,0.38863307,-2.898375,3.0257592,-0.8271011,1.0900117,-1.1004303,0.9181342,No
-454.3794,117.65584,-26.163847,50.29671,-25.75055,36.707436,0.4171108,19.88678,8.688494,1.462009,18.700542,-5.533188,16.383335,-3.9914308,4.683733,-4.2178774,0.19810325,3.7761989,-6.7473326,3.2967553,-7.1036444,5.5459423,-0.47351575,3.5977092,0.5411505,-1.6219827,5.4435043,-4.7942796,0.4361393,-2.4288468,0.5099346,-4.310748,-1.9150054,0.9081985,-2.4518805,2.051542,-1.307743,0.80602896,-2.1456418,1.1798699,No
-457.77548,112.75346,-25.25373,55.875652,-26.321033,35.4143,-1.2064502,21.384115,9.727049,1.4793488,18.414762,-6.23163,16.77838,-3.4007788,5.212379,-4.2620273,0.6092907,4.4540706,-6.238943,3.3404074,-6.3947086,4.9060864,-1.0746847,4.2698145,0.13352242,-2.1440215,4.4039245,-3.8686497,1.1398007,-2.1790705,1.6794101,-4.4843893,-2.034172,0.58301324,-2.0226684,2.786094,-1.0552055,1.4159468,-1.0358193,1.3287523,No
-450.2932,120.716644,-25.46868,49.87463,-23.684624,37.00518,1.3917557,19.049202,6.602306,-0.19613773,16.623497,-6.4853077,15.092797,-5.6799316,4.659305,-2.6726484,-0.16749054,2.4050388,-8.193603,1.3684415,-7.5634875,4.708632,-1.3460487,2.425616,-0.5264369,-1.6287714,4.1733594,-5.3811407,0.6599413,-2.4262547,0.49947715,-3.683602,-1.0968895,0.8833121,-0.27146873,5.1990643,1.2005278,2.7366583,-1.2589446,0.46925107,No
